intent,example_phrases,tts_responses,text_scroller_text,text_scroller_wobble,action_type,action_status,action_substate,audio_file,usage_count
greeting,hello|hi|hey|greetings|howdy|what's up|hey there|good morning|good afternoon|good evening|sup|yo|salutations|wave,"hello beautiful human|hey there wanderer|greetings from the playa|what's up burner|hello you magical being|hey beautiful soul|greetings traveler|hello there friend|hey wanderer of the playa|hello you radiant being|greetings from decompression|hey there beautiful|hello magical creature|greetings friend|hey there you amazing human|hello and welcome|greetings from the dust|hey there burner|hello beautiful wanderer|greetings from black rock city|hello decompression|hey playa friend|greetings from london|hello burner|hey there beautiful soul|greetings wanderer|hello magical being|hey decompression friend|greetings from the dust|hello playa wanderer",dusty hugs rolling by|welcome to decompression lane|riding the glow waves,0,status,wave,hand_waving,,0
eye,eye|look|see|watch|gaze|vision|open eye|show eye|eye mode|let me see|watching|show me the eye|activate eye|open your eye,"opening my eye for you|let me see you|eye mode activated|watching the playa|all eyes on you|opening my digital eye|let me gaze upon you|eye mode engaged|watching you beautiful human|all eyes on the playa|opening my vision|let me see the beauty|eye activated|watching the magic|all eyes watching|opening my sight|let me observe|eye mode on|watching the wonder|all eyes here|eye opening|vision activated|seeing you now|all eyes watching|gazing at the playa|eye engaged|watching the wonder|vision mode on|all eyes here|opening my sight",,,status,eye,,,0
people,people|person|outline|silhouette|crowd|humans|show people|who's here|see people|highlight people|show the crowd|show me people|who is here|show everyone,"showing you the people|outlining the beautiful humans|people mode engaged|let's see who's here|highlighting the crowd|showing the people around|outlining the wanderers|people mode activated|let's see the crowd|highlighting the beautiful souls|showing you everyone|outlining the magical beings|people mode on|let's see the gathering|highlighting the community|showing the people here|outlining the crowd|people engaged|let's see who's around|highlighting the beautiful people|people mode|showing everyone|highlighting wanderers|outlining souls|showing the crowd|people activated|highlighting humans|showing beautiful beings|people mode engaged|outlining the gathering",,,status,people,,,0
smile,smile|smiling|happy,"i see you smiling|your smile lights up the playa|that's a beautiful smile|smiles all around|radiating joy|i see that smile|your smile is magical|that's a wonderful smile|smiles everywhere|radiating happiness|i see you smiling beautiful|your smile brightens everything|that's a radiant smile|smiles for everyone|radiating positivity|i see that beautiful smile|your smile is amazing|that's a gorgeous smile|smiles all around friend|radiating pure joy|that smile is everything|your joy is contagious|smiles lighting up|radiating happiness|beautiful smile|joy radiating|smiles everywhere|that's a wonderful smile|radiating pure joy|smiles all around",glow with every grin|smiles spark neon ripples|your joy lights the playa,0,status,smile,,,0
thumbs_up,thumbs up|thumbs|good|great|awesome|approval,"thumbs up to you|that's radical|you're awesome|right on|hell yeah|thumbs up beautiful|that's amazing|you're incredible|right on burner|hell yeah friend|thumbs up to you friend|that's fantastic|you're wonderful|right on wanderer|hell yeah beautiful|thumbs up|that's great|you're amazing|right on friend|hell yeah you|thumbs up wanderer|that's epic|you're radical|right on beautiful|hell yeah burner|thumbs up friend|that's fantastic|you're incredible|right on playa|hell yeah wanderer",approval waves rolling out|thumbs up unlocks extra sparkle|good vibes amplifying now,0,status,thumbs_up,,,0
peace,peace|victory|v sign|peace sign|peace gesture,"peace and love|peace out|peace to you|spreading peace|peace beautiful|peace wanderer|peace and decompression|peace friend|peace to the playa|peace and love beautiful|peace out wanderer|peace and joy|peace to everyone|peace beautiful human|peace and wonder|peace and connection|peace and decompression|peace to the playa|peace beautiful|peace wanderer|peace and love|peace out friend|peace to everyone|peace beautiful human|peace and wonder|peace and connection|peace to the playa|peace beautiful soul|peace wanderer",peace beams through the dust|two fingers infinite calm|sending playa peace pulses,0,status,peace,,,0
ask_name,what's your name|who are you|what are you|tell me your name|what do you call yourself|what should i call you|introduce yourself|what is your name|who is this|what are you called,"i'm decompression mode, an interactive art piece|i'm a digital eye watching the playa|i'm decompression, here to decompress with you|i'm an interactive installation at decompression|welcome to decompression mode|i'm decompression, an art installation|i'm a digital eye|i'm decompression mode|i'm here to decompress|i'm an interactive art piece|i'm decompression|i'm a digital installation|i'm decompression mode|i'm here to decompress with you|i'm an interactive piece|i'm decompression|i'm a digital eye watching|i'm decompression mode|i'm here to decompress|i'm an art installation",,,tts_only,,,,0
thank_you,thank you|thanks|appreciate it|thank you so much|thanks a lot|much appreciated|i appreciate it|grateful|thank you very much,"you're welcome|happy to help|anytime burner|you're so welcome|glad to be here with you|you're welcome beautiful|happy to help wanderer|anytime friend|you're so welcome|glad to be here|you're welcome|happy to help|anytime|you're welcome|glad to help|you're so welcome|anytime burner|happy to help|you're welcome friend|glad to be here|you're welcome",gratitude ripples through the dust|thanks echo in neon waves|appreciation beams outward,0,tts_only,,,,0
compliment_positive,cool|neat|sweet|amazing|incredible|awesome|fantastic|wonderful|beautiful|radical|epic|sick|dope|fire|lit,"you're pretty cool too|right back at you beautiful human|you're amazing too|thanks, you're pretty rad yourself|you're the cool one|you're awesome too|right back at you|you're amazing|thanks friend|you're pretty cool|right back at you|you're awesome|thanks wanderer|you're amazing too|right back at you beautiful|you're pretty rad|thanks friend|you're cool|right back at you|you're awesome",vibes amplifying|radical energy detected|good vibes only mode activated,0,tts_only,,,,0
goodbye,goodbye|bye|see you later|farewell|see ya|later|peace out|take care|until next time|see you soon|bye bye|goodbye friend,"see you later beautiful human|bye wanderer, come back soon|farewell friend, decompress well|peace out burner|take care beautiful|see you later|bye wanderer|farewell friend|peace out|take care|see you soon|bye beautiful|farewell|peace out friend|take care wanderer|see you later|bye friend|farewell beautiful|peace out|take care",until we meet in the dust again|safe travels wanderer|see you on the playa,0,tts_only,,,,0
